Size,Bubble Sort Reads,Bubble Sort Writes,Bubble Sort Time,Heap Sort Reads,Heap Sort Writes,Heap Sort Time,Insertion Sort Reads,Insertion Sort Writes,Insertion Sort Time,Merge Sort Reads,Merge Sort Writes,Merge Sort Time,Quick Sort Reads,Quick Sort Writes,Quick Sort Time,Selection Sort Reads,Selection Sort Writes,Selection Sort Time,Two-Sort Reads,Two-Sort Writes,Two-Sort Time
1000,1760494,766050,26974,720654,339598,11512,770046,257348,6073,37316,19952,2060,47634,18600,1920,1001997,2997,2539,1495512,598550,17051
900,1444705,635787,21578,571592,263320,8215,639383,213727,4799,33192,17752,1880,42691,16679,1684,811797,2697,2026,1214686,478284,13138
800,1145885,509037,16792,447971,205319,6220,512233,171277,3644,29004,15552,1692,37841,14791,1467,641597,2397,1603,963258,377614,9840
700,865261,378123,11960,352946,161514,4729,380919,127439,2537,24852,13352,1501,33053,12907,1284,491397,2097,1244,736142,289712,7562
600,640156,281568,8311,259604,117488,3275,283964,95054,1833,20696,11152,1269,28310,11066,1031,361197,1797,903,545416,213158,5466
500,443495,194235,5560,184013,84077,2238,196231,65743,1238,16690,8976,895,23287,9103,874,250997,1497,641,381750,150322,3838
400,282504,123324,4074,122247,55403,1586,124920,41906,835,12864,6976,799,18248,7148,761,160797,1197,440,247998,97586,2473
300,159366,70086,1993,71376,32168,872,71282,23960,476,9150,4976,620,13422,5260,567,90597,897,261,143048,56258,1451
200,69666,30246,779,33935,15455,347,31042,10480,208,5652,3088,363,8564,3356,373,40397,597,124,65172,26000,574
100,16185,7155,181,9891,4403,109,7551,2583,52,2418,1344,159,3924,1538,174,10197,297,39,17490,7002,168
